id,file,s,t,C,W
1,Grafi/grafo001.gr,252532,250320,82048,42854
2,Grafi/grafo001.gr,252532,250320,72529,49229
3,Grafi/grafo001.gr,252532,250320,87096,51191
4,Grafi/grafo001.gr,252532,250320,89486,55001
5,Grafi/grafo001.gr,252532,250320,88254,61469
6,Grafi/grafo001.gr,251880,252829,91428,44152
7,Grafi/grafo001.gr,251880,252829,70662,47531
8,Grafi/grafo001.gr,251880,252829,85321,54534
9,Grafi/grafo001.gr,251880,252829,93698,59866
10,Grafi/grafo001.gr,251880,252829,79135,63902
11,Grafi/grafo001.gr,246661,250337,96728,44367
12,Grafi/grafo001.gr,246661,250337,78537,46623
13,Grafi/grafo001.gr,246661,250337,70693,52951
14,Grafi/grafo001.gr,246661,250337,84207,55264
15,Grafi/grafo001.gr,246661,250337,88717,60218
16,Grafi/grafo001.gr,252629,251829,88142,43187
17,Grafi/grafo001.gr,252629,251829,83245,45264
18,Grafi/grafo001.gr,252629,251829,83587,52680
19,Grafi/grafo001.gr,252629,251829,92576,59865
20,Grafi/grafo001.gr,252629,251829,80777,64494
21,Grafi/grafo001.gr,252683,242127,91602,43306
22,Grafi/grafo001.gr,252683,242127,70221,45470
23,Grafi/grafo001.gr,252683,242127,74869,51459
24,Grafi/grafo001.gr,252683,242127,88761,57714
25,Grafi/grafo001.gr,252683,242127,91081,64533
26,Grafi/grafo001.gr,250393,252364,80489,44835
27,Grafi/grafo001.gr,250393,252364,71458,49388
28,Grafi/grafo001.gr,250393,252364,71966,52431
29,Grafi/grafo001.gr,250393,252364,91293,56639
30,Grafi/grafo001.gr,250393,252364,83227,63112
31,Grafi/grafo001.gr,246295,236700,82772,44112
32,Grafi/grafo001.gr,246295,236700,96722,45727
33,Grafi/grafo001.gr,246295,236700,102605,52849
34,Grafi/grafo001.gr,246295,236700,73860,59478
35,Grafi/grafo001.gr,246295,236700,98828,61120
36,Grafi/grafo001.gr,251649,249422,77211,44291
37,Grafi/grafo001.gr,251649,249422,92819,49173
38,Grafi/grafo001.gr,251649,249422,97851,54704
39,Grafi/grafo001.gr,251649,249422,88123,55296
40,Grafi/grafo001.gr,251649,249422,70280,62541
41,Grafi/grafo001.gr,251897,251481,83683,41280
42,Grafi/grafo001.gr,251897,251481,72377,48428
43,Grafi/grafo001.gr,251897,251481,101242,52351
44,Grafi/grafo001.gr,251897,251481,102370,56858
45,Grafi/grafo001.gr,251897,251481,99911,61223
46,Grafi/grafo001.gr,250991,246168,87484,40786
47,Grafi/grafo001.gr,250991,246168,86989,45868
48,Grafi/grafo001.gr,250991,246168,101207,53292
49,Grafi/grafo001.gr,250991,246168,83857,56978
50,Grafi/grafo001.gr,250991,246168,79227,64329
51,Grafi/grafo002.gr,249505,251808,77810,43084
52,Grafi/grafo002.gr,249505,251808,103658,49497
53,Grafi/grafo002.gr,249505,251808,81358,52796
54,Grafi/grafo002.gr,249505,251808,90048,56399
55,Grafi/grafo002.gr,249505,251808,81793,63810
56,Grafi/grafo002.gr,242480,252566,76199,42640
57,Grafi/grafo002.gr,242480,252566,91305,46180
58,Grafi/grafo002.gr,242480,252566,98700,50636
59,Grafi/grafo002.gr,242480,252566,93138,56598
60,Grafi/grafo002.gr,242480,252566,82227,61857
61,Grafi/grafo002.gr,251783,242306,78762,43287
62,Grafi/grafo002.gr,251783,242306,94630,48574
63,Grafi/grafo002.gr,251783,242306,86098,52924
64,Grafi/grafo002.gr,251783,242306,101462,57977
65,Grafi/grafo002.gr,251783,242306,85426,62270
66,Grafi/grafo002.gr,251669,249748,79674,44788
67,Grafi/grafo002.gr,251669,249748,102970,45735
68,Grafi/grafo002.gr,251669,249748,90093,50744
69,Grafi/grafo002.gr,251669,249748,100957,57981
70,Grafi/grafo002.gr,251669,249748,70363,61351
71,Grafi/grafo002.gr,236961,251786,88487,40501
72,Grafi/grafo002.gr,236961,251786,104616,49322
73,Grafi/grafo002.gr,236961,251786,85307,53606
74,Grafi/grafo002.gr,236961,251786,91184,58403
75,Grafi/grafo002.gr,236961,251786,98516,63899
76,Grafi/grafo002.gr,251576,250489,92893,43118
77,Grafi/grafo002.gr,251576,250489,102270,48860
78,Grafi/grafo002.gr,251576,250489,104837,50991
79,Grafi/grafo002.gr,251576,250489,74705,56163
80,Grafi/grafo002.gr,251576,250489,86120,62609
81,Grafi/grafo002.gr,252692,251005,70631,41780
82,Grafi/grafo002.gr,252692,251005,81139,49718
83,Grafi/grafo002.gr,252692,251005,103456,52374
84,Grafi/grafo002.gr,252692,251005,81122,56963
85,Grafi/grafo002.gr,252692,251005,83385,62517
86,Grafi/grafo002.gr,252486,251977,100501,40095
87,Grafi/grafo002.gr,252486,251977,103900,49359
88,Grafi/grafo002.gr,252486,251977,95363,50312
89,Grafi/grafo002.gr,252486,251977,77280,59651
90,Grafi/grafo002.gr,252486,251977,71126,62583
91,Grafi/grafo002.gr,251308,253393,95674,44235
92,Grafi/grafo002.gr,251308,253393,88925,48656
93,Grafi/grafo002.gr,251308,253393,93706,53258
94,Grafi/grafo002.gr,251308,253393,96861,59204
95,Grafi/grafo002.gr,251308,253393,79141,64788
96,Grafi/grafo002.gr,246107,250630,98486,44069
97,Grafi/grafo002.gr,246107,250630,81363,47655
98,Grafi/grafo002.gr,246107,250630,83454,53849
99,Grafi/grafo002.gr,246107,250630,96157,56287
100,Grafi/grafo002.gr,246107,250630,73165,61214
101,Grafi/grafo003.gr,242423,249519,80171,40373
102,Grafi/grafo003.gr,242423,249519,100752,49365
103,Grafi/grafo003.gr,242423,249519,77258,54400
104,Grafi/grafo003.gr,242423,249519,72749,55658
105,Grafi/grafo003.gr,242423,249519,94890,64146
106,Grafi/grafo003.gr,264162,245665,72745,44718
107,Grafi/grafo003.gr,264162,245665,80107,47500
108,Grafi/grafo003.gr,264162,245665,89857,52275
109,Grafi/grafo003.gr,264162,245665,92933,56889
110,Grafi/grafo003.gr,264162,245665,104603,63275
111,Grafi/grafo003.gr,250265,250357,93422,40469
112,Grafi/grafo003.gr,250265,250357,83514,49421
113,Grafi/grafo003.gr,250265,250357,91892,54851
114,Grafi/grafo003.gr,250265,250357,93497,59783
115,Grafi/grafo003.gr,250265,250357,93176,62322
116,Grafi/grafo003.gr,249571,251157,95007,44883
117,Grafi/grafo003.gr,249571,251157,87036,48772
118,Grafi/grafo003.gr,249571,251157,97078,51312
119,Grafi/grafo003.gr,249571,251157,85740,58347
120,Grafi/grafo003.gr,249571,251157,85565,60578
121,Grafi/grafo003.gr,133672,245836,78016,40032
122,Grafi/grafo003.gr,133672,245836,83350,47051
123,Grafi/grafo003.gr,133672,245836,102436,54964
124,Grafi/grafo003.gr,133672,245836,77218,58342
125,Grafi/grafo003.gr,133672,245836,73947,62538
126,Grafi/grafo003.gr,252618,250819,73741,40151
127,Grafi/grafo003.gr,252618,250819,75802,45875
128,Grafi/grafo003.gr,252618,250819,96715,53228
129,Grafi/grafo003.gr,252618,250819,93463,55514
130,Grafi/grafo003.gr,252618,250819,81861,63165
131,Grafi/grafo003.gr,246162,250991,94191,42956
132,Grafi/grafo003.gr,246162,250991,80440,46436
133,Grafi/grafo003.gr,246162,250991,96653,50902
134,Grafi/grafo003.gr,246162,250991,70903,55232
135,Grafi/grafo003.gr,246162,250991,71116,61934
136,Grafi/grafo003.gr,250798,251214,89390,42118
137,Grafi/grafo003.gr,250798,251214,98931,45139
138,Grafi/grafo003.gr,250798,251214,91986,53930
139,Grafi/grafo003.gr,250798,251214,76846,59247
140,Grafi/grafo003.gr,250798,251214,87452,60184
141,Grafi/grafo003.gr,250109,133357,74818,41616
142,Grafi/grafo003.gr,250109,133357,87223,48016
143,Grafi/grafo003.gr,250109,133357,81010,53781
144,Grafi/grafo003.gr,250109,133357,94268,58152
145,Grafi/grafo003.gr,250109,133357,88041,63483
146,Grafi/grafo003.gr,242373,247116,103679,44213
147,Grafi/grafo003.gr,242373,247116,91192,47846
148,Grafi/grafo003.gr,242373,247116,97003,53397
149,Grafi/grafo003.gr,242373,247116,70723,57422
150,Grafi/grafo003.gr,242373,247116,97123,62816
151,Grafi/grafo004.gr,250450,246431,101369,44007
152,Grafi/grafo004.gr,250450,246431,93554,48600
153,Grafi/grafo004.gr,250450,246431,100119,50761
154,Grafi/grafo004.gr,250450,246431,100744,55560
155,Grafi/grafo004.gr,250450,246431,81908,61183
156,Grafi/grafo004.gr,251127,249652,83455,41525
157,Grafi/grafo004.gr,251127,249652,102803,45937
158,Grafi/grafo004.gr,251127,249652,100832,53184
159,Grafi/grafo004.gr,251127,249652,96418,59638
160,Grafi/grafo004.gr,251127,249652,98042,61182
161,Grafi/grafo004.gr,251863,249377,79898,40566
162,Grafi/grafo004.gr,251863,249377,87975,48837
163,Grafi/grafo004.gr,251863,249377,104838,51113
164,Grafi/grafo004.gr,251863,249377,77008,57696
165,Grafi/grafo004.gr,251863,249377,76363,64947
166,Grafi/grafo004.gr,249915,250832,78443,40751
167,Grafi/grafo004.gr,249915,250832,87343,47664
168,Grafi/grafo004.gr,249915,250832,99109,53664
169,Grafi/grafo004.gr,249915,250832,73556,58171
170,Grafi/grafo004.gr,249915,250832,84929,62132
171,Grafi/grafo004.gr,249875,250289,90243,42986
172,Grafi/grafo004.gr,249875,250289,94137,45251
173,Grafi/grafo004.gr,249875,250289,82000,51258
174,Grafi/grafo004.gr,249875,250289,80693,59804
175,Grafi/grafo004.gr,249875,250289,95021,63845
176,Grafi/grafo004.gr,251640,250455,84047,40806
177,Grafi/grafo004.gr,251640,250455,87116,49286
178,Grafi/grafo004.gr,251640,250455,101029,50404
179,Grafi/grafo004.gr,251640,250455,96997,58302
180,Grafi/grafo004.gr,251640,250455,97710,62361
181,Grafi/grafo004.gr,249876,251726,98291,42168
182,Grafi/grafo004.gr,249876,251726,104006,46965
183,Grafi/grafo004.gr,249876,251726,101807,50474
184,Grafi/grafo004.gr,249876,251726,75380,59056
185,Grafi/grafo004.gr,249876,251726,88908,60382
186,Grafi/grafo004.gr,133351,246407,101381,43681
187,Grafi/grafo004.gr,133351,246407,78467,45820
188,Grafi/grafo004.gr,133351,246407,100388,50500
189,Grafi/grafo004.gr,133351,246407,91898,57354
190,Grafi/grafo004.gr,133351,246407,87430,61939
191,Grafi/grafo004.gr,252257,250239,85215,44773
192,Grafi/grafo004.gr,252257,250239,70384,46215
193,Grafi/grafo004.gr,252257,250239,71146,50341
194,Grafi/grafo004.gr,252257,250239,101058,55981
195,Grafi/grafo004.gr,252257,250239,93202,63660
196,Grafi/grafo004.gr,250303,251627,79723,41159
197,Grafi/grafo004.gr,250303,251627,83740,47796
198,Grafi/grafo004.gr,250303,251627,99404,53555
199,Grafi/grafo004.gr,250303,251627,88692,56530
200,Grafi/grafo004.gr,250303,251627,100525,62444
201,Grafi/grafo005.gr,251477,251326,101975,41387
202,Grafi/grafo005.gr,251477,251326,82328,48843
203,Grafi/grafo005.gr,251477,251326,96612,53263
204,Grafi/grafo005.gr,251477,251326,94602,55892
205,Grafi/grafo005.gr,251477,251326,82986,64665
206,Grafi/grafo005.gr,251460,246567,98143,43531
207,Grafi/grafo005.gr,251460,246567,90756,46023
208,Grafi/grafo005.gr,251460,246567,94014,50020
209,Grafi/grafo005.gr,251460,246567,103335,59440
210,Grafi/grafo005.gr,251460,246567,102062,64795
211,Grafi/grafo005.gr,251822,249917,70651,42030
212,Grafi/grafo005.gr,251822,249917,78910,47487
213,Grafi/grafo005.gr,251822,249917,71864,50953
214,Grafi/grafo005.gr,251822,249917,77578,59901
215,Grafi/grafo005.gr,251822,249917,87480,63792
216,Grafi/grafo005.gr,251590,252453,94539,44190
217,Grafi/grafo005.gr,251590,252453,102702,45595
218,Grafi/grafo005.gr,251590,252453,98705,54003
219,Grafi/grafo005.gr,251590,252453,98367,59466
220,Grafi/grafo005.gr,251590,252453,78295,63678
221,Grafi/grafo005.gr,246961,251032,95607,42470
222,Grafi/grafo005.gr,246961,251032,101208,45723
223,Grafi/grafo005.gr,246961,251032,84715,53830
224,Grafi/grafo005.gr,246961,251032,91450,58280
225,Grafi/grafo005.gr,246961,251032,100279,61840
226,Grafi/grafo005.gr,248266,133636,78720,44705
227,Grafi/grafo005.gr,248266,133636,75879,45521
